
STATUS | wrapper  | 2016/03/30 23:07:41 | 
STATUS | wrapper  | 2016/03/30 23:07:41 | Launching a JVM...
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperSimpleApp Error: Unable to locate the class ExamLog4jProject.com.devcolibri.logpack.Main : java.lang.ClassNotFoundException: ExamLog4jProject.com.devcolibri.logpack.Main
INFO   | jvm 1    | 2016/03/30 23:07:42 | 
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(Unknown Source)
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(Unknown Source)
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	at java.text.MessageFormat.<init>(Unknown Source)
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	at java.text.MessageFormat.format(Unknown Source)
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4242)
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(Unknown Source)
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/03/30 23:07:42 | WrapperManager Error: 	... 8 more
STATUS | wrapper  | 2016/03/30 23:07:43 | <-- Wrapper Stopped
STATUS | wrapper  | 2016/03/30 23:08:20 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/03/30 23:08:20 | Java Service Wrapper Standard Edition 64-bit 3.5.29
STATUS | wrapper  | 2016/03/30 23:08:20 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/03/30 23:08:20 |     http://wrapper.tanukisoftware.com
NOTICE | wrapper  | 2016/03/30 23:08:20 | 
NOTICE | wrapper  | 2016/03/30 23:08:20 | --------------------------------------------------------------------
NOTICE | wrapper  | 2016/03/30 23:08:20 | Thank you for your interest in the Java Service Wrapper.
NOTICE | wrapper  | 2016/03/30 23:08:20 | 
